Variant,cat,t,f_mean,f_sem,f_n
D262V,expressing,102,0.4162130215321705,0.10364393216230658,3
WT,expressing,102,0.2816362381579773,0.07608308776513534,3
allW D262V,expressing,103,0.1941579620640286,0.03855083991951927,3
D262V,expressing,103,0.4076544629736119,0.10044848782865139,3
WT,expressing,103,0.2816362381579773,0.07608308776513534,3
allW D262V,expressing,104,0.1941579620640286,0.03855083991951927,3
D262V,expressing,104,0.39053734585649474,0.09447094802297648,3
WT,expressing,104,0.2816362381579773,0.07608308776513534,3
allW D262V,expressing,105,0.1895917520183665,0.03814867273384236,3
D262V,expressing,105,0.3849817903009392,0.08931476916595381,3
WT,expressing,105,0.2816362381579773,0.07608308776513534,3
allW D262V,expressing,106,0.1895917520183665,0.03814867273384236,3
D262V,expressing,106,0.3794262347453837,0.0842094077703734,3
WT,expressing,106,0.2816362381579773,0.07608308776513534,3
allW D262V,expressing,107,0.1895917520183665,0.03814867273384236,3
D262V,expressing,107,0.3663280301578174,0.08988113656733525,3
WT,expressing,107,0.27658573310747225,0.0775382758876935,3
allW D262V,expressing,108,0.17598630984149574,0.05053648579022808,3
D262V,expressing,108,0.3552169190467063,0.07966467862880934,3
WT,expressing,108,0.27658573310747225,0.0775382758876935,3
allW D262V,expressing,109,0.17598630984149574,0.05053648579022808,3
D262V,expressing,109,0.3522139160437033,0.0821330901341163,3
WT,expressing,109,0.27658573310747225,0.0775382758876935,3
allW D262V,expressing,110,0.17598630984149574,0.05053648579022808,3
D262V,expressing,110,0.3436553574851447,0.07972710373991607,3
WT,expressing,110,0.27658573310747225,0.0775382758876935,3
allW D262V,expressing,111,0.17598630984149574,0.05053648579022808,3
D262V,expressing,111,0.33809980192958916,0.07490852096773801,3
WT,expressing,111,0.2561775698421661,0.05767953249186357,3
allW D262V,expressing,112,0.17142009979583364,0.05002664900328465,3
D262V,expressing,112,0.3325442463740336,0.07019893411907674,3
WT,expressing,112,0.24937484875373075,0.051156145987125326,3
allW D262V,expressing,113,0.17142009979583364,0.05002664900328465,3
D262V,expressing,113,0.31835984921091304,0.07083287506566496,3
WT,expressing,113,0.22807937404210699,0.056609426804598344,3
allW D262V,expressing,114,0.17142009979583364,0.05002664900328465,3
D262V,expressing,114,0.31835984921091304,0.07083287506566496,3
WT,expressing,114,0.21117564285266152,0.05121163833392795,3
allW D262V,expressing,115,0.17142009979583364,0.05002664900328465,3
D262V,expressing,115,0.31535684620791,0.07321274434709434,3
WT,expressing,115,0.21117564285266152,0.05121163833392795,3
allW D262V,expressing,116,0.1653594937352276,0.04511769638993235,3
D262V,expressing,116,0.31535684620791,0.07321274434709434,3
WT,expressing,116,0.20437292176422614,0.04497790874121237,3
allW D262V,expressing,117,0.1653594937352276,0.04511769638993235,3
D262V,expressing,117,0.30980129065235446,0.06813921493014645,3
WT,expressing,117,0.20437292176422614,0.04497790874121237,3
allW D262V,expressing,118,0.1653594937352276,0.04511769638993235,3
D262V,expressing,118,0.2986901795412434,0.058256597475387056,3
WT,expressing,118,0.20437292176422614,0.04497790874121237,3
