Variant,cat,t,f_mean,f_sem,f_n
allW D262V,nonexpressing,87,0.35789473684210527,0.06181060227838443,3
D262V,nonexpressing,87,0.44583333333333336,0.04805234414446167,3
WT,nonexpressing,87,0.41885402609086825,0.053420851642907115,3
allW D262V,nonexpressing,88,0.3495614035087719,0.06371774587045548,3
D262V,nonexpressing,88,0.4333333333333333,0.05464532103585002,3
WT,nonexpressing,88,0.40175438596491225,0.04914629764151383,3
allW D262V,nonexpressing,89,0.34100877192982454,0.0624230058223258,3
D262V,nonexpressing,89,0.42083333333333334,0.05120085719768547,3
WT,nonexpressing,89,0.39331421502474134,0.04721193151493141,3
allW D262V,nonexpressing,90,0.3366228070175438,0.05823803388109429,3
D262V,nonexpressing,90,0.42083333333333334,0.05120085719768547,3
WT,nonexpressing,90,0.38026878092667565,0.04710983708960312,3
allW D262V,nonexpressing,91,0.31973684210526315,0.06410451955608247,3
D262V,nonexpressing,91,0.41250000000000003,0.047324236215002306,3
WT,nonexpressing,91,0.35889563652721546,0.03859259980204419,3
allW D262V,nonexpressing,92,0.31973684210526315,0.06410451955608247,3
D262V,nonexpressing,92,0.3875,0.045069390943299835,3
WT,nonexpressing,92,0.3546221322537112,0.03433051236990567,3
allW D262V,nonexpressing,93,0.31535087719298244,0.06022083155687113,3
D262V,nonexpressing,93,0.37916666666666665,0.0435012771204606,3
WT,nonexpressing,93,0.3546221322537112,0.03433051236990567,3
allW D262V,nonexpressing,94,0.3111842105263158,0.060463115363690256,3
D262V,nonexpressing,94,0.37916666666666665,0.0435012771204606,3
WT,nonexpressing,94,0.35045546558704455,0.03632314333518627,3
allW D262V,nonexpressing,95,0.2899122807017544,0.05983628081434231,3
D262V,nonexpressing,95,0.375,0.04330127018922191,3
WT,nonexpressing,95,0.3377417903733693,0.03019308244891271,3
allW D262V,nonexpressing,96,0.27280701754385966,0.052481053023342675,3
D262V,nonexpressing,96,0.3541666666666667,0.04695594862326935,3
WT,nonexpressing,96,0.3248088169140801,0.023505306612795866,3
allW D262V,nonexpressing,97,0.268640350877193,0.05305250176931117,3
D262V,nonexpressing,97,0.3541666666666667,0.04695594862326935,3
